time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-26T05:13:24.820Z,41.6579,143.099,30.89,5.2,mb,,121,0.359,1.24,us,us10006sp5,2016-09-27T17:09:59.000Z,"96km SE of Shizunai, Japan",earthquake,7.3,4.6,0.045,163,reviewed,us,us
2016-09-26T04:21:35.440Z,-20.4304,-177.7413,510.87,4.5,mb,,92,4.79,1.03,us,us10006snw,2016-09-26T04:44:56.040Z,"102km ENE of Ndoi Island, Fiji",earthquake,12.7,6.9,0.077,49,reviewed,us,us
2016-09-26T02:24:38.200Z,41.8926,142.2176,65.04,5,mb,,76,0.711,1.05,us,us10006sn0,2016-09-27T19:17:10.000Z,"50km SSW of Shizunai, Japan",earthquake,4.9,6.2,0.029,369,reviewed,us,us
2016-09-26T00:40:40.120Z,52.7785,-167.1271,42.72,4.6,mb,,166,1.065,0.9,us,us10006smr,2016-10-01T01:30:13.215Z,"118km E of Nikolski, Alaska",earthquake,7.3,7,0.036,234,reviewed,us,us
2016-09-25T23:46:49.970Z,-32.6793,-178.467,10,4.6,mb,,154,6.633,0.8,us,us10006smh,2016-09-26T00:47:02.040Z,"144km SSE of L'Esperance Rock, New Zealand",earthquake,13.3,2,0.112,24,reviewed,us,us
2016-09-25T18:24:00.550Z,-3.229,-80.7395,39.7,4.7,mb,,115,1.377,0.91,us,us10006skn,2016-09-25T19:35:10.508Z,"49km NW of Tumbes, Peru",earthquake,7.3,8.4,0.079,49,reviewed,us,us
2016-09-25T15:15:03.340Z,-17.9452,-178.5153,567.92,4.5,mb,,74,3.274,0.9,us,us10006sjy,2016-09-25T16:25:31.040Z,"280km SE of Lambasa, Fiji",earthquake,11.3,7.1,0.032,290,reviewed,us,us
2016-09-25T12:34:38.980Z,-29.2203,61.036,14.24,4.6,mb,,62,9.337,0.54,us,us10006sjj,2016-09-25T12:55:46.040Z,"Southwest Indian Ridge",earthquake,12.5,2.4,0.116,22,reviewed,us,us
2016-09-25T12:10:41.700Z,-8.3748,-75.0281,126.83,4.6,mb,,82,2.388,1.05,us,us10006sje,2016-09-25T12:52:01.040Z,"26km WNW of Campoverde, Peru",earthquake,8.6,6.3,0.076,52,reviewed,us,us
2016-09-25T09:50:51.120Z,41.787,-126.1645,16.37,4.6,mb,,193,1.506,1.67,us,us10006sj1,2016-09-28T02:47:02.435Z,"158km W of Brookings, Oregon",earthquake,4.1,6.1,0.097,32,reviewed,us,us
2016-09-25T05:01:50.950Z,41.8666,-126.1106,10,5,mb,,194,1.445,1.05,us,us10006shx,2016-09-29T05:08:56.917Z,"151km WSW of Gold Beach, Oregon",earthquake,7.5,1.9,0.034,278,reviewed,us,us
